text,aspect,label
"It's cool, but there's one freaking point: pitches and sorting all the time.",sorting,0
"notion is becoming famous because it is one of the best apps we can use especially for online class, very useful!!",apps,2
This app won’t let me use multiple orgs like the website FAQ says.,website,0
timely delivery and more product options.,product options.,0
"i recommend doing most of your editing on the computer app, and using your phone app for things like checking your planner.","app,",2
it is good to know that it also provides discount.,discount.,2
original soundtrack of the uploaded video?,sound,1
"and it takes minutes to load just a page, nevermind the whole app, on a flagship phone!",app,2
hi why was i charged when this workspace subscription was cancelled ?,subscription,0
could you please help me change the email address of my account?,account,1
"e.g. if i export a page titled 'test page' to html, I would get test-page.zip which contains the file 'test page 7dd.html', and i wish it was just 'test page.html' :)",file,1
no one in the support centre knows who is going to deliver the milk they do not even have their number from morning 7 a.m.,milk,0
"@womenpm love using miro for visual roadmap, @airtable or gsuite for discussion, @notionhq for the public roadmap",roadmap,2
"I love this app, but for the free version it would be better if their was a bit more storage right now it’s like (2GB)",storage,0
"system is showing order is delivered but we are not getting delivery, fraud is happening","delivery,",0
(she/her) design &amp; operations manager,Design,2
i had run into the 10 block limit for the team plan so created a new workspace with the personal plan and copied over the data,workspace,1
"8 26 97 27 75, line",Line,1
good app for organize your work.,app,2
"delivery charges and rubbish schemes for delivery charges, 90 rs charged for milk delivery to same house",Delivery charges,0
"""My Task"" tab doesn't save the custom filter after I restart the app.",Task,0
"Let me change column widths, why isn't this a thing yet?",column,1
the android app is so slow it is borderline unusable.,android app,0
notion is the best organization app I have ever used.,organization app,2
(i do not have apple stuff.),Apple,1
you have upgrade from monthly to yearly,yearly,1
delivery is on time and before 7am.,Delivery,2
your payment and account is good on our side :),payment,1
it selects images because you are on the free plan,images,0
that is when there was a table with only one column on the confluence page.,table,0
do you know anything about youtube ads if you do not mind,ads,1
i wand to edit the audio,EDIT,1
"Feeling upset, asana doesn't sync in mobile app.",mobile,0
"yes, that is a lifetime plan",plan,1
plz allow students to write hand writen notes and importing pdfs and exporting in the app both desktop version and android and keep ur emojis like in the desktop app plz,app,0
"It’s just me, yet I can’t get notifications unless I assign tasks to myself.",get notifications,0
"hi, i have just upgraded my plan, but it is still showing the istock watermark on the clip.",watermark,1
"First off Airtable invigorated my inner organization geek, I love what is possible on the web version but the IOS app is just too bare bones right now.",IOS,0
order time till 11,Order time till 11,2
deliveries.,Deliveries.,0
potatoes were very dirty.,Potatoes,0
the android app is just way too slow to be good.,Android app,0
"i chose 7 different passwords with different combinations, but to no avail.",passwords,0
copy & paste could not achieve?,paste,1
all of my other internet applications work just splendid besides the notion app.,internet applications,0
"no widgets, poor optimization, no shortcuts.","widgets,",0
"I can appreciate what this offers, but not only does the free tier lack many things that would make this shine or be truly useful, its lowest pricing plan offers absolutely no upgraded functionality, only a paltry increase in storage.",free,0
grab my free @notionhq template f.,template,2
"Good, but slow",slow,0
some students find handwriting a better alternative and note taking on the ipad with apple pencil has bought digital and paper together.,Apple Pencil,0
inthis regard i loose one packet of 500 ml milk i am very unhappy with super daily,milk,0
how to add brightness and color adjustment in video,color,1
"if i need to upgrade, i will contact you guys again",upgrade,1
I would totally agree that it would be great and useful to have a feature that allows you the ability to create columns inside a toggle feature.,create columns,1
"7:22 pm gmt+2  wrote: hello we are reaching out because we do not have a tax number such as a value-added tax (vat) number, or goods and services tax (gst) number on file for you, or the number we do have on file is invalid.",file,1
"at ignite student union, we support over 33,0+ at humber college and the university of guelph-humber.",student,1
why do it takes time when i open the notion?,notion?,0
that does not show up in the share menu like in your support center videos.,menu,1
this app is still limited.,app,0
where can i find a video to learn how to use the fade in/out for music,how to use,1
and it is here so stoked to share this project with you !,project,2
how can i be sure that my subscription is cancelled,subscription,0
"best wishes, richard +3 on wed, 28 apr 2021 at 18:22, community &lt;&gt; wrote: hello we are reaching out because we do not have a tax number such as a value-added tax (vat) number, or goods and services tax (gst) number on file for you, or the number we do have on file is invalid.",tax,1
"so i had to recorded a slow motion video with my phone, because even a normal recording was not fast enough to capture the flickering.",recorded,1
"I’ve never been a fan of the app on iPad, but can’t understand why I can’t view calendar just like the desktop app.",iPad,0
"great app for storing notes, but it takes a really long time just to open the application on the phone.",app,2
"hi matt, apologies for the trouble exporting your workspace.",workspace,0
@kent_boogaart @notionhq is the desktop app normally so much better than their web app?,desktop,1
"please confirm by clicking the ""allow support access"" button, which can be found under settings &amp; members - my account - support access.",support,1
on time delivery and communication,delivery,2
"so if i get a 720p camera on the free plan and later upgrade, can i still use the 720p video?",plan,1
"post rendering, the audio is not in sync with the video!","rendering,",0
"contactless delivery, zero complications","Contactless delivery,",2
"but i can recommend staying on it, as you will save half your money compared to a monthly plan, because a monthly plan costs $20 per month - which is $240 a year , but a yearly plan is $120 - which comes to just $10 a month","plan,",1
none of the scenes are synched anymore,scenes,0
service for milk delivery is very good and appreciable.,milk delivery,0
This iPhone app allows me on the go to update and use shopping lists designed on my PC.,update,1
web version is top notch though but this mobile version is hindering my transition from evernote.,Evernote.,0
#NAME?,android app,0
Using it every day.,every day,2
"overall this app definitely deserves five stars, but i would not be able to give enough stars if you could fix some of the issues with mouse and try optimise the app a bit more for mouse on",five,2
"however, i do not see a way to add custom templates to notion without submitting them to the global notion template gallery?",templates,0
"If I want to create list on my phone I don’t need account, ToS and similar nonsense. 
",list,1
because all the workspaces are so confused - if we can restore personifi that might help me trace what is missing.,workspaces,1
it is loading fine,loading,2
"it would be amazing if when copy-pasting text in, it would automatically recognise $x$ as inline text, and $$xx$$ as a new maths block.",inline,0
i can not seem to access a notion template i have purchased,purchased,1
excellent customer service and support.,customer service,2
"our external keyboard and trackpad support could use some polish, I will share this with the engineering team to look into further for future improvements, and appreciate your feedback on this we have been working on lots of mini-projects over the past couple of weeks, I will nudge the team to bump this back up the to-do list.",keyboard,0
One of the best PM and Database apps.,Database,2
"Image Feedback section on the iPad, please it would be a GAME CHANGER if you can add functionality to use the pen/stylus to draw notes on images/boards to give team feedback with freestyle drawing! 

",boards,1
the first company is running the h kealth workspace and using okta as a saml provider for sso and scim .,SSO,1
customer care is in accessible.,Customer care,0
"sorry, you can upload the image and edit it",edit,1
fruits and vegetables are of worst quality and expensive too,Fruits,0
good choice of products and customer service.,customer service.,2
reduce the delivery charges or reduce the monthly super subscription ..,Reduce,2
"Love the desktop app, but iOS has felt neglected for some time now.",desktop,2
i use apple notes (sync between my mac / iphone with icloud) as it is the fast.,Notes,1
"it is just the best app for students, the only inconvenience is the offline mode, it is just bad, sometimes it will not even load the texts, and the images in the notes are never kept offline.",app,2
related to #1 would you recommend doing clip editing for 75 minutes of video.,edit,1
Anything with a spirit please help from the company's team all may be able to make it easier for us to solve whatever issues are different types..,team,1
the mobile app is useless.,mobile app,2
i am writing to request access to the notion api beta so that i can try out the automate.io integration.,API,1
Always recommend to my client.,client,2
give me a android widget I will give you a 5 star,Android widget,0
"Asana is the ideal way to organize the entire team and project processes. 
",team,1
but android app is not as fast and snappy as using web or mac app.,mac app.,2
@notionhq ftw however the number of features might be overkill or off-putting.,however,0
the templates keep resetting when i select a template.,template.,1
love the pover of organization and notetaking spread sheets its perfect.,Love,2
that is 180$ for unlimited plan,plan,2
the milk packets are just dropped on ground area.,milk,0
improve your delivery patterns there is no consistency on delivery as on any day the product is not delivered,delivery patterns,0
"This app in all the world of other apps doesn't support Right to Left language, so many major languages out there like Arabic, Hebrew, needs this very simple and easy coding to support writing from right to left.

",language,0
door bell is many times not rung by your person after delivery of items.,delivery,0
hey there i was charged about $100 lately for a full years subsription i would like to get a refund.,refund.,1
"incredible app for organize basically your life, please implement reminders with some kind of alarm or notifications.",app,2
reduce products rates & reduce service charges.,products rates,0
but this app needs serious work.,app,0
and another question that means: 20 remove background credits,Remove,1
did not get delivery two days in a row that too a bew cuatomet,delivery,0
and i would like to know if i can get a refund,refund,1
"notion is just the perfect tool to get everything together, collect your thoughts and process it effectively.",tool,2
love using @notionhq as a tool to manage all my learning in #s4ca helps organise my thinking resource gather.,organise,2
"in case you plan on keeping this for a long time, and just rotate students out as they finish their years",plan,1
the prices should be as per mrp for products.,prices,0
"non amo molto l'interfaccia mobile di questa app, andrebbe ottimizzato per questo tipo di dispositivo, ma resta comunque un applicazione molto utile e perfetta su pc.",Non,2
the windows version seems great but there still seems to be bugs and missing features from the mobile version.,bugs,0
i can send you over an email so you can contact me if you all ever add a commenting feature when it comes to collaboration and any offers you have.,email,2
"the app is great, would give 5 stars if i get an option for notion widget to add stuff quickly directly from my home screen",app,2
"yes, I am asking you to logout and login and then try again once",log,1
"they have many things you can include such as a calender, check list, data table, video/website/photo links, galleries and so on.",video/website/photo,0
My recurring task times are now automatically set an hour earlier just because the time changed.,task,1
"what kind of @notionhq templates are you most interested in?
",templates,1
customer service and commitment given,Customer service,0
"whenever supply does not happen by regular time, only false promises are being made that the supply will be made in next 30 minutes etc.",supply,0
i forgot my password and now have also lost access to the email account used,account,0
"fresh items, good packing.","Fresh items,",2
"so a refund will not be possible, sorry",refund,2
"promptness, ease of operation and friendly help on any question","Promptness,",2
"ok, share the new accounts emails with me",share,2
powerful tool but still lacks offline mode.,offline mode.,0
i reflexively take notes on keep wh.,notes,1
features access to 3500+ curated templates full access to image library full access to standard video library 120 istock images and videos free access to creator club's (premium) templates,istock,2
best app for project mgt.,App,2
"the lost page is named as "" weekly plan""",weekly,2
all my notes and research for school projects and school subjects were on there and lots of important dates and events.,projects,1
absolutely love notion and the mobile app is really solid.,Notion,2
prompt delivery immaterial of weather conditions,delivery,2
Years later still the same junky app when compared to desktop,desktop,1
you can remove the backgrounds from 20 images,background,1
I have been using notion for two months now.,Notion,2
it worked in final version download.,download.,1
prompt and timely service,Prompt,2
"ok, for a free trial, you can only do it with a card, if it does not work, then please use it on a free account, and if you like it, you may come back and pay for it",account,1
good for maintenance of notes,notes,2
i have already logged in with my student email on my macbook,Macbook,1
"in the meantime, theirs a workaround that might help, this is to export files directly from evernote then import them into notion.",Evernote,0
must improve the sales and reception,sales,0
"Due to your recent update of today all my recurring tasks are gone. 

",update,0
"but allows me to quickly check my pages, my other wish would be that it load faster.",load,0
groceries rate are very high compared to near by market,Groceries rate,0
"if i have a ""participants"" field in a database and a team member is removed from the workspace, what.",database,1
very good app and is better than any other apps I have ever seen,app,2
"what a app, I am lost for words.","app,",2
"the overall aplication was great, but is there is a way to add a subscript and a supersript in my note ?",aplication,2
"promt service , hasselfree delivery",delivery,2
I didn’t get past the mandatory sign in screen that lacks Apple sign in feature for privacy.,screen,0
"@notionhq can you expand the header cells to support h4, h5, h6 please.",header,1
could i upload 3 seperate video files for mash up into one final video?,upload,0
"This is the first app I’ve ever written a review for, but it has blown me away with how useful and user-friendly",user-friendly,2
improve delivery system and communication,delivery system,0
notion as a service and desktop app is phenomenal.,app,2
App functions pretty well but it is a shame that most views are not yet available on the app.,views,0
this is the first rating i ever write to an app.,app.,2
i thought here mentioned not charge any mount after 7 days?,charge,1
it is been 3 days that i have not got the milk delivery.,milk delivery.,0
we have checked all the support docs and.,support,1
no proper redressal of customer grievance.,customer grievance.,0
The best app for team assignments.,team,2
ios has a feature that let us you move the text cursor around by holding the space bar and,iOS,2
absolutely love how customizable this app is.,app,2
i need to wait around 30 seconds on one plus 5,One Plus 5,2
"provide more variaty with competitive price, stop taking service charges from regular customer, improve your customer care.","competitive price,",0
prompt service.,service.,2
dairy products are not received in a good condition,Dairy products,0
"thanks great tool, but buggy app.",app,0
@hossam_zaki_ @notionhq @khemaridh the learning curve to use it as,learning,0
service with timely delivery,Service,2
"sharing an image to notion from other app (chrome, screenshot) does not load sometime.","(Chrome, Screenshot)",0
"unfortunately, the bigger your blocks you have, the heavier it loads.. this issue still persists for months.. while the desktop or web version has no issue..",blocks,0
"i have no idea how to do this, i assume this occurs when i paste the video into gif.",paste,1
only thing that would make it better would be a to-do list widget for my home screen!!,widget,0
"so far, the loading time has improved, though it is still a bit slow.",loading time,2
flexibility to order till 11 pn and timely delivery,delivery,2
i put 4 because of the not very smooth operation of the app,app,2
you can adjust the duration of the text box to start from the beginning of the scene.,text,1
The monthly pricing is high.,pricing,0
i am currently setting it up on the free version of notion team.,free,2
punctual and has lots of varieties to serve,Punctual,2
"we keep per-minute backups of our database, so you can reach out to us if you need help restoring something.",database,2
"hi, i have a notebook containing 191 notes in my evernote, i want to import all those notes to notion, but when the import task finished, only the latest 30 notes were imported.","Evernote,",1
i hope an image in a scene which has a istock logo on it -- see it in the screenshot,logo,1
"barring few items such as onions tomato and potato, quality of product supplied is very good.",onions,0
can you have multiple workspace with the paid account.,paid account.,1
When I was use first time I feel so hard to use this after few days to understand everything,first time,1
"no, that does not affect the text transparency.",text,1
need to improve the quality of products delivered.,quality,0
"1) delete logo when editing 2) export 3) time to download: ""why is the logo there?""",logo,1
your application with regard to customer satisfaction and the care team approach to customers is v v bad.,customer satisfaction,0
"in the screenshot of the speed test, the upload speed is 0.",speed,1
"however, the url for that has been used, i.e. what protection do you offer?",URL,1
didn’t even get through the login screen.,login,0
"Slower than a turtle in the android version, and you can not make a simple addition or subtraction, in pure synthetic pint.",android,0
just wondering if i could replace ice-cream pictures with my own picture after purchase of the template.,purchase,1
"i just want to be sure i have an active plan, because i receive a mail telling me that it could not charged my card, but when i check my plan, it says active",plan,1
"unfortunately, the bigger your blocks you have, the heavier it loads.. this issue still persists for months.. while the desktop or web version has no issue..",web version,2
"Dear Developer, 
I am a new user of your app and I am impressed with all the ideas you guys have consolidated in this app .",Developer,1
please help (android app or web page via chrome - none is working),(Android app,0
unlimited products and prompt services.,Unlimited products,2
"I am actually content with the free version for now too, but will get a plan just out of pure respect for what notion provided for my studying and creative processes",Notion,2
Why i have to share my google contact when loging in using gmail?,google,1
@notionhq you have a couple of phishing pages asking people to give up their and office 365.,phishing,1
It doesn’t seem possible to unsubscribe on mobile at all.,mobile,0
"it is not going to my spam folder, so i worry it is being blocked by an interim spam server.",spam,1
"App doesn't launch (MIUI Global 12, Android 9)",Android,1
"I’m using Airtable for couple of days and I liked it, for easy to use, good interface and especially that I cant put attachments for base.",attachments,1
The best application to create and manage databases from iphone.,databases,1
I like Asana especially when it comes to organizing tasks for brand design projects.,projects,1
"Not sure why this gets such a high rating, it’s so limited on mobile. Thought I’d try Airtable as an alternative to Notion, but quickly found its features very limited compared with what’s advertised on their web sites front page.  The lack of Kanban board views is an instant killer for me. File uploads also seem to get stuck and never finish if I tap the image icon, but works if I tap the 3 dots!  You can’t even create formula fields on mobile. Drag and dropping photos on iPad from other apps to records also doesn't seem to exist. From the brief time I’ve spent using the product I’ve just hit so many limitations, it may be great on a PC but it’s no good if mobile is your primary interface.",File,0
i like this functional and useful app,app,2
i would like her to be able to help me edit things,edit,1
simplicity and on time delivery,delivery,2
"i like the concept of this app so much I am putting all my notes, reviewers and sources for my upcoming board exam in here.",sources,2
"Airtable is great because, it is simple to use with its sheet format, and it actually works on many devices - even those with older OSs - iOS 8 being one (That's amazing! How would people get anything done if they were strictly limited to the most updated devices?).

Also, it doesn't seem to be specifically built into the app, but there seems to be a way to do offline, as long as the base you want to view is left open before you go offline and viewing is all you need.

Suggestions:
- Ability to change checkbox status without having to open the specific record.

- The ability to export certain records. Let's say you have an active filter and you want to export just the ones you're viewing.

- Form view for mobile.",Form view,1
"sure, i can share a link to pay, do you prefer paying with paypal or card?",pay,1
"ok, before i apply this, i do have to let you know that you are downgrading from a business plan, so you will not have certain features on the appsumo plan, like premium media, and limited to 10 min videos",premium,1
"You can make the transition to Russian, and then half Russian, half in English.",Russian,1
i use it for my collage notes and,collage notes,2
"your packing staff is unskilled , tomato, mausambi,podina, kadi patta, --20% is wasted.","Mausambi,Podina,",0
would you mind sending over the workspace name or billing email address on file?,workspace,1
"workspace name is init.vc payment method ach or wire transfer billing email  your address llc iidf invest, llc iidf invest, myasnitskaya 13 str 18, russia",Billing,1
"and your delivery timings is very long, and delayed.",delivery Timings,0
"the delivery guys are extremely pathetic also, it always going to rain",delivery guys,0
"however, i am still seeing the old workspace called gloo, which i should no longer be a part of.",workspace,0
provide offers so that we can get attracted by your brand,Provide offers,0
price and product availability,Price,0
"i can do this on omnifocus, evernote, even things.","OmniFocus,",0
it does not let me load a clip on the scene,scene,0
this has all of them in one app.,app.,2
"hi, i have voice overs I would like to import and sync with scenes.",sync,1
"Airtable is an amazing app. My company is currently starting to implement this for product tracking and it is almost the perfect tool. I’ve rated the app 3 stars for 2 reasons:

No gallery view in app
-the ability to switch between views is the main reason we use Airtable instead of excel. Having an app version (that has a zoom option) would make this a 4 star app. 

No offline viewing mode
- the collaborative nature of this program is amazing. I realize solving discrepancies is the main reason for not having an offline mode. However, We use this mainly for a visual representation of our products. If we are in a building with bad signal or traveling overseas, it would be ideal to at least have a “last saved version” to reference photos offline. Offline viewing mode would make this a 5 star app.

I will immediately revise this review if gallery view is added to the app and if an offline viewing mode is added.

Thanks",Offline,1
but the app is starting up.,app,0
"i really liked this app, it was useful for most aspects of my life.","app,",2
i am more than happy with the services rendered so far.,services,2
"however, one negative thing that i believe is crucial is that you can not select text for more than 1 block.",1 block.,0
Is some workspaces is now difficult LIKE a posta from the inbox !!!,inbox,1
"however, i do mostly use notion on my computer, not through my android phone :/",android,0
but i tried notion and all i get is a link to facebook or the webpage,webpage,0
"i think notion is good app for note, personal database, but a little complicated to public person.",app,2
reliability - to many items are not available after the other is placed.,Reliability,0
@monicalimco @m_ashcroft @notionhq @roamresearch now use the @notionhq web clipper as you visit each course.,web,1
i did not get super dairy bag,Super Dairy Bag,0
this way you will not have to pay anymore,pay,1
syncs across devices,Syncs,2
worst service till now not provided bags outside my room due to this,Worst service,0
"i went to sign up, but it would not let me proceed after picking a password.",password.,0
"i would like to cancel my free trial, however there does not seem to be a button for that.",free,1
@larshofstetter @christi to build proper relational databases efficiently in @coda_hq,databases,2
"hello, i recently purchased the business plan with a 50% off promo code for the year",promo code,1
i cannot put into words how much i love this app.,app.,2
"prior to the recentmost update, the app gets stuck at the logo.",app,2
you charged me 60$ today,charged,0
"i try to share the link with my groupmate, but they can not get access to it.",share,0
"my concern is if i use multiple videos in one project, i can not use again this month?","project,",1
@notionapi @notionhq please add columns/blocks that can be placed next to each other to the ios app.,iOS,1
"I have lost data after a computer restart, and now i need to pay to enable the page history to get it back?",data,0
"we are based in the uk, and our uk vat number is , do feel free to add that to the account, or alternatively point me at the right place",free,1
"on the pricing page, it says cloud storage for unlimited is 100gb",pricing,0
how did invideo create the text box in this template.,template.,0
"but can you guys add apple pencil support on ipad for writing, like goodnotes and add voice recording like notablity.",add voice,0
"notion is great on it is own on desktop machines, this app has sucked too much pond scum.",app,0
what is diffrences between free plan and lifetime pro plan,lifetime,2
"amazingly well designed, well detailed and an easy interface with so much choices.!",Amazingly,2
"a second brain (use @notionhq ) for recording ideas, insights, basical.",recording,2
i deleted the page i do not have the url,URL,0
app stuck on loading screen.,App,0
"prompt, customer friendly, quick customer service for complaints","Prompt,",2
Cuqup membantu kerja team,team,1
"prices, offers, some products with best prices","Prices,",0
I used to use Apples built in reminders app.,Apples,1
"i consider this app the best out of all the ones I have tried on this platform, for notes and personal information management.",notes,2
how i make my template gifs in canva: client portal @notionhq launching soon!,launching,2
did not got supr daily bag.,supr daily bag.,0
may i know the reason for cancellation?,cancel,1
prompt delivery and the helpful staff.,Prompt delivery,2
keep the prices same for supr access members and non supr access members,prices same for supr access members,0
"however, most of the vegetables and fruits are out of stock most of the time.",fruits,0
"love the blocks feature, the ability to use markup language, code, mathematical expressions.","code,",2
Clouding access online that complements accelerator's weak DB functionality.,online,1
consolidate all your pages under one top-level page by dragging and dropping each page into the new page you created in the left-sidebar.,dragging,1
this is literally the best app I have ever had!,app,2
hey i want to cancel my free tiral,cancel,1
"i love the platform, but the app takes a long time to load.",app,0
I have been searching for quite a while for an app to organize my stamps and this fits my needs perfectly!,stamps,1
"quality of product like corn, tender coconut as per price we pay is not good","corn,",0
the actual button to the api docs off the main site does not open any.,api,0
please add widget on android as well,Android,0
"avoid super access membership for milk , dairies items.",Dairies items.,0
"i really really love the notion desktop app and use it to keep track of my lists, thoughts, ideas, a lot of my life.",app,2
I use Asana as a student to organize some of my classes.,student,1
I would like to be able to use this for my work in the mental health field for referrals and assignments to my coworkers as we are out in the community.,field,1
i can not log in to my notion account on my computer,computer,0
hi @notionhq - did you all remove the firefox web clipper?,Web,1
notion is easily one of the best apps I have used in my entire life.,Notion,2
will that work as a facebook cover 1:1 on mobile?,facebook,1
"prompt delivery, on time and facility to add and stop .","delivery,",2
it is a shame but @notionhq has gotten so slow that it kills all the joy of using it.,slow,0
Love the App and the push notifications.,push notifications,2
"Airtable (on Mac OS, Web and PC) is one of the best and most well developed pieces of software on the market!  ",Mac,1
non delivery issues are increasing.,deliver,0
"but you guys did not use my email, my bank account was used in the refund","email,",0
i have pictures of the slides (with each slide a separate picture) and on the right i have the corresponding notes for each slide (all in one long text block).,picture),1
"yes, when you export your project",project,1
"when i try to reset my password, clicking the link in your answer mail I am redirected to the login page, asking me again if i forgot my password.",reset,1
how can i grant the support access if my account was deleted?,support,1
the most comprehensive knowledge management system app i have ever used.,app,2
this app is very versatile and they recently seem to have updated it so it is more like the desktop in landscape mode on an ipad.,app,2
"the export function is weak, giving you a link to share .",export function,0
Impossible to register.,register,0
My review disappeared so again: Works quite well but offline functionality is terrible.,offline,0
"i just created a new account, but i seem to have two notebooks / personal plans under one email account which is causing my widgets not to work.",notebooks,0
"* Update changed the way tables/views scroll sideways, leaving a descriptive header for each row, but I'll be OK with it eventually, since I see what the goal is.",scroll,1
it just shows the notion logo.,Notion logo.,0
not opening .not,not,2
after entering the login data bila screen... and nothing.,login,0
I can’t even start a project or anything because it keeps saying it won’t sync.,sync,0
"Add Russian Lang, please and I’ll give 5 of 5 ❤️",Russian,1
how do i delete the logo so i do not have to delete the logo from each individual scene?,scene?,1
reasonably priced veggies,veggies,2
organising my life with this great app!,app!,2
"I use project management and personal tasks, simply fantastic, and combined with Instagantt is the best",project,1
"but i can recommend staying on it, as you will save half your money compared to a monthly plan, because a monthly plan costs $20 per month - which is $240 a year , but a yearly plan is $120 - which comes to just $10 a month",plan,1
this app is amazing!,app,2
"that is great news that you are able to find what you are searching for, jason!",searching,1
Exactly what I needed to organize my information,organize,1
the deductions are made from my credit card.,card.,1
no customer care person,customer care person,0
complaint lodging system is not user friendly,Complaint lodging system,0
your delivery agent has been throwing the items haphazardly near the apartment gate!,delivery agent,0
"i really want to like this app but the ipad version has major usability flaws, especially with databases.",iPad version,0
"platform is good, but the android app does deserve the relatively low rating.",Android app,0
"love this app , i use lotion (linux version of notion) and notion app which can be used together to sync data and write notes.",notion app,2
so i can just copy what i have done on powerpoint and create a video on your service,powerpoint,1
improve your customer service and product availability and quality,Customer service,0
i totally agree that being able to quickly add a webpage link or snapshot to the notes through chrome or edge plugins is a great feature to add in notion.,webpage,1
may i know did you canceled the plan?,canceled,0
hassle less early morning milk delivery.,delivery.,2
how do i resize screen?,screen?,0
hi i sent a request yesterday to get my account changed to the business account and to be billed monthly.,business,1
stop cheating people and stop making false promises do business in customer centrric,customer centrric,0
"i tried logging in and out, going through my history but nothing working",logging,0
the $10 is the yearly plan i.e. you will be charged $120.,yearly,1
fruit are often over ripe.,Fruit,0
"apologies, we do not have custom size you can resize only in 3 dimensions available",resize,1
I have gone ahead to fill the form again.,form,1
free give away shweta,free,1
but app is not upto the mark,app,0
please have some focus on customers and service,service,0
"yes, go with notion (then get your custom link).",custom,1
very slow.. hire some android developers please.,android developers,0
"on account of his lethargy, i am yet to receive the refund of the amount from your office till date.",refund,0
"loved the desktop version, but in android its not opening, its stuck in the title logo, please fix this issue.","desktop version,",2
"I have recently switched to using @notionhq for literally everything from writing, task management, project planni.",switched,2
"i really like your pc apps, but the mobile version needs much optimization and improvement.",mobile version,0
i was told that i would receive an insulation bag for milk delivery subscription of more than 30 days.,delivery subscription,0
"hi there, could i sync or easy to move evernote files(10yrs) to notion?",sync,2
"and prior to this change it was saying upgrade for $10, now it is $15 :)",upgrade,0
"by quoting fair price, providing fresh vegetables and fruits, more deals if possible, etc",fresh vegetables,0
"now a days mostly there two sim card users, so it is request to you to add both sim card nos. of your comsumer.",SIM Card,0
notion is such an amazing and versatile platform to organize your life.,Notion,0
good products & good service,products,2
"milk and curd delivery is excellent but other products delivery like sweets, snacks, vegetables etc.","sweets,",0
timely and speedy delivery.,delivery.,2
once payments are done then no reply to the queries.,payments,0
"the phone version lacks the most essential feature without which it is quite useless, which is web clipper for android.",Android.,0
i want to delete my account,delete,1
what would be nice is a possibility for widgets on the home screen to quickly add a page/note!,widgets,0
my previous card expired i aded another one but the payment is not going through,pay,1
"the app speed is fine, if you face frequent slowdowns, then it may be either due to you browser cache, your system memory not being being able to handle the editor's load, an errant plugin, or just slow internet",load,1
poor customer care .,Poor customer care,0
"its basically the cost of an unlimited yearly plan, but you get it for life, and never have to pay a single penny again",plan,0
do you mean remove background image means I am able to remove watermark?,watermark,0
"i takee 4 pacets of milk daily, why i hv to pay rs4??..",milk,0
notion as a productivity tool is awesome!,Notion,2
"unfortunately, it is riddled with bugs that make it unusable.",bugs,0
"the projects open fine here, i understand swapnil asked you to check the connection, go to incognito, etc.",incognito,1
"this is the app to get if you want to organise your thoughts, to do list, whatever you throw at it, notion would be able to do it.",app,2
"(page permissions, workspace name, page name, keywords, urls, alternate emails, web sessions, login method) - page url: - web sessions on this account: 1 - support access granted.",URL,1
"if you are importing multiple notebooks, would you mind trying to import your notes in smaller batches?",notes,0
love this this is an amazing app.,app.,2
now the greatest fear in notion app is i will loose all my content on my devices as there could be an ulterior motive of the app developers to not allow the user to use content when they fit,app,0
mobile app - ios or android?,Android?,1
no proper reply on chet for supr bag for last five months and multiple complains,supr bag,0
lower the prices and service charges and availability of products many times order booked amount debited and product not received due to out of stock,service charges,0
i just uploaded it in the fb business manager and it does replay,uploaded,1
"Don’t get me wrong, Airtable is a great platform, but promising everything is misleading. Everything requires numerous bolt on integrations that cost our company an extra $175/month. 

The Zapier integration helps a ton. However it’s missing several vital triggers. Like detecting an updated record. Thus the workaround is a $49/per month patch “plug in” by a 3rd party. 

Zapier claims they have been requesting this of Airtable to enable this for many many months. 

Come on Airtable. Please don’t make us pay hundreds of dollars more per month to enable features that Airtable could certainly provide. 

Another missing function (which would not require a zap), allowing customers to update their own record requires a 3rd party integration to simply create a unique url to a unique form for external updating. Airtable developers could flip a switch to get these “BASICS” enabled.",Zapier,1
"sure, ill mail the lifetime plan offer directly from  - but you can get back on it",plan,2
"I'm learning, but it was very useful and intuitive.",learning,1
"i recommend doing most of your editing on the computer app, and using your phone app for things like checking your planner.",app,2
having the notion app for a call log in those busy times has been incredibly helpful in keeping on top of calls and jobs.,notion app,2
only a few suggestions: please make the apps faster and please make the offline working experience better.,apps,2
"exelent app, it has helped me get all of my notes and ideas in place.",notes,2
"hi, thamirys sorry about this, we just updated to the latest version of katex to add support for more amsthm environments that might affect some structure including the color.",color,0
by keeping adequate stocks and keeping away the short fall of stocks,adequate stocks,0
i freaking love this app.,app.,2
need to improve with promised delivery time as it is being so much delayed nowadays,delivery time,0
"Need to be able to make a task public from a phone, as of right now you can only make it public from a desktop and mine is down for a bit.",phone,1
i want to cancel and request a refund.,cancel,1
"you have mentioned that it is not the workspace that you want to be undeleted, but a page, right?",workspace,1
i love this app.,app.,2
@notionhq would be the perfect note-taking + project management tool if performance/speed was improved.,project,2
hi i would like to cancel my subscription please,subscription,0
i uv received rotten vegetables and fruits and stale bread.,fruits,0
i wasted 3 pkts of milk,milk,0
The program is excellent for managing individual and team projects.,projects,1
if i could give you seventeen stars i would because this tool is amazing,tool,2
"it is 100% customizable for whatever your needs are, there are so many options of views, templates, tags, menus, tables, lists and other elements that are so useful for so many things i can not even list here.","menus,",2
Great app for personal and business planning and management,personal,1
